MOFNAME,PS,WS,MC,UPTAKE,QH
acs.inorgchem.6b00433_ic6b00433_si_002_clean,5.96211,4.62167,0.715267,5.37095821,33.6679
acs.inorgchem.6b02514_ic6b02514_si_002_clean,6.09101,5.53211,0.569621,4.783844981,29.8386
acs.jchemed.6b00258_ed6b00258_si_005_clean,4.54949,3.31507,0.89284,1.590069686,29.1648
acscombsci.5b00188_3001288_clean,29.41365,23.60037,1.13641,6.109365776,8.5949
c4ce00408f_c4ce00408f2_clean,12.62762,5.23882,1.11282,19.42223528,39.8521
c5cc10203k_c5cc10203k2_clean,16.11055,7.03802,0.73651,19.30689302,21.5576
c6cc00862c_c6cc00862c2_clean,8.00553,6.19741,0.741452,9.589492903,31.3196
c6ce00407e_c6ce00407e1_clean,15.77585,8.21654,0.954654,13.55445271,19.418
c6ce00407e_c6ce00407e2_clean,12.56279,7.41464,0.943843,13.59085484,22.3481
c6ce00407e_c6ce00407e3_clean,12.83222,6.18664,0.986386,13.76869495,29.6352
c6ce00407e_c6ce00407e7_clean,33.68342,15.87888,1.13839,11.68538292,13.2064
c6ce00407e_c6ce00407e8_clean,6.42415,4.65473,1.00122,12.49276417,30.5255
c6ce00407e_c6ce00407e9_clean,13.32178,10.04301,0.914538,7.527802102,11.8358
cg301577a_si_002_clean,13.79617,7.99146,1.03026,14.98795019,19.9625
cg400449c_si_001_clean,12.65792,7.41339,0.983046,16.49954332,23.18
cg401887b_si_004_clean,8.20931,6.61957,1.08273,16.35440988,31.4941
cg500149s_si_002_clean,5.58191,4.61814,1.0522,2.457548544,32.3402
cg500175k_si_001_auto,20.37708,9.90922,1.10971,15.352613,18.2754
cg501730q_si_002_clean,15.26084,10.84338,0.796167,9.753771336,20.4316
cg901128k_si_004_clean,5.1054,4.19275,0.766684,0.937884983,26.7667
cm501138g_si_002_clean,13.2781,6.68961,0.972924,13.7562109,27.9114
cm501138g_si_005_clean,13.193,6.5701,0.979327,13.91788564,28.6674
cm501138g_si_006_clean,13.20287,6.64275,0.972495,14.0299135,27.8766
cm501138g_si_008_clean,13.18132,6.60546,0.972828,13.97210787,27.8168
cm501138g_si_009_clean,13.19195,6.68183,0.968952,14.01786963,27.7768
cm501138g_si_010_clean,13.19966,6.69993,0.971371,13.96304603,28.074
cm501138g_si_011_clean,13.25601,6.66924,0.963771,13.96624299,27.9649
cm501138g_si_012_clean,13.22876,6.69209,0.975379,13.88193381,27.7459
ic025743v_s1_clean,5.43084,3.59671,0.612754,4.465061441,19.9054
ic034943jsi20030807_040506_clean,5.2265,4.77382,0.964203,2.749570294,30.0972
ic060030osi20060309_091447_clean,7.66338,4.13517,0.750758,8.089909458,41.2859
ic102347b_si_001_clean,7.286,6.24859,1.0438,10.82484238,28.7758
ic5008457_si_002_clean,5.97545,4.80817,0.779075,8.721995929,28.741
ic501849g_si_002_clean,6.90703,4.72819,0.966604,7.64377322,33.2933
ic502921j_si_002_clean,10.79969,7.20507,0.881864,11.20629138,28.9333
ic502921j_si_003_clean,7.7085,4.09601,1.00399,6.962480271,36.341
ic5b00194_si_002_clean,8.53834,6.535,0.96544,14.57757257,30.1849
j.inoche.2015.03.028_inc05925-mmc2_clean,5.98483,4.5721,1.01449,10.18533643,31.5114
